,type,name,lat,lng
0,Vegan,Vegan Buddha,51.79039580000001,0.1362968
1,Vegan,Vantra,51.5107029,-0.1318557
2,Vegan,Mildreds Soho,51.5130279,-0.1364023
3,Vegan,Farmacy,51.5154097,-0.1928439
4,Vegan,222 Vegan Cuisine,51.4859898,-0.2030877
5,Vegan,Paradise Plantbased,51.53331379999999,-0.21825
6,Vegan,Hooyo's Vegan Restaurant Catering Kitchen,51.4991853,-0.0135337
7,Vegan,Mooshies London Vegan Burger Bar,51.5197306,-0.07173879999999999
8,Vegan,by CHLOE.,51.5038676,-0.07703270000000001
9,Vegan,Mildreds Camden,51.5403759,-0.1449377
10,Vegan,By Chloe,51.5135778,-0.1203722
11,Vegan,Vegan Yes Shoreditch,51.51876009999999,-0.0714397
12,Vegan,The Plant Base,51.1345908,0.2669981
13,Vegan,Oliveira Organic Vegetarian Kitchen,51.4640904,-0.2724092
14,Vegan,Vegan Spartan,51.7477585,-0.4724641000000001
15,Vegan,Genesis Shoreditch,51.5217166,-0.07581249999999999
16,Vegan,Lovegift Vegan,51.4569456,0.0090364
17,Vegan,Ahimsa The Vegan Cafe,51.5945991,-0.3826569
18,Vegan,Miranda Café,51.5811807,-0.121625
19,Vegan,Sagar Restaurant,51.4924404,-0.2321587
20,Dog groomer,Bark Lane,51.2879594,-0.09692529999999999
21,Dog groomer,"""By George"" Professional dog groomers",51.591956,-0.683452
22,Dog groomer,"Dapper Dogs, Dog Grooming, Dog Groomer",51.339409,0.5171629999999999
23,Dog groomer,MUDDIPAWS DOG GROOMING,51.903097,-0.398698
24,Dog groomer,Pedigrees 'n' Pooches Dog Grooming,51.7879195,-0.148577
25,Dog groomer,Pretty Paws Dog Grooming Services,51.5714743,0.4778823
26,Dog groomer,Nicoles dog grooming parlour,51.6138586,0.5197210000000001
27,Dog groomer,Four Paws Dog Grooming,51.8773127,0.5088083
28,Dog groomer,BUSHMEAD DOG GROOMERS,51.90629759999999,-0.4117124
29,Dog groomer,Home from Home Dog Grooming Salon,51.6122093,0.5305702999999999
30,Dog groomer,King Cut Dog Grooming,51.5728815,0.4440636
31,Dog groomer,Helen's Mobile Dog Grooming,51.9096829,-0.1846176
32,Dog groomer,Shampoodles mobile dog grooming,51.1328679,-0.3003512
33,Dog groomer,Paws & Pamper Dog Grooming,51.8958568,-0.5368954
34,Dog groomer,Snip Doggy Dogs,51.89515859999999,-0.3897204
35,Dog groomer,Diamond Dog Grooming,51.369302,0.547114
36,Dog groomer,Best Buddies Dog Grooming,51.6385024,0.3419884
37,Dog groomer,Pedigree Professionals Dog Grooming,51.41282500000001,-0.167713
38,Dog groomer,Mr Scrufts Dog Grooming,51.3276759,-0.7552536999999999
39,Dog groomer,Buddie's Mobile Dog Grooming,51.3349693,0.5529674
40,Pubs,Vegan Buddha,51.79039580000001,0.1362968
41,Pubs,Vantra,51.5107029,-0.1318557
42,Pubs,Mildreds Soho,51.5130279,-0.1364023
43,Pubs,Farmacy,51.5154097,-0.1928439
44,Pubs,222 Vegan Cuisine,51.4859898,-0.2030877
45,Pubs,Paradise Plantbased,51.53331379999999,-0.21825
46,Pubs,Hooyo's Vegan Restaurant Catering Kitchen,51.4991853,-0.0135337
47,Pubs,Mooshies London Vegan Burger Bar,51.5197306,-0.07173879999999999
48,Pubs,by CHLOE.,51.5038676,-0.07703270000000001
49,Pubs,Mildreds Camden,51.5403759,-0.1449377
50,Pubs,By Chloe,51.5135778,-0.1203722
